OBJECTID,ROADSEGMENTID,CARTO_CLASS,SUBCATEGORY,STREET,FROM_STREET,TO_STREET,FROM_LEFT_ADDRESS,TO_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,TO_RIGHT_ADDRESS,REGIONAL_ROAD,LANES,OWNERSHIP,FLOW_DIRECTION,SOURCE,SOURCE_DATE,SPEED_LIMIT,AADT,AADT_YEAR,TRUCK_ACCESS,Shape__Length
56737,22392,Arterial,MAJOR,KING ST E,RIVER RD E,MORRISON RD,3450,3450,3453,3453,REGIONAL RD  8,3,REG,TwoWay,REG PLAN 1310,4/22/2003 12:00:00 AM,50,15480,2015,24HR,328.03928731363
56766,40257,Arterial,MAJOR,BLOOMINGDALE RD,PRINCE ST,COLYER PL,49,83,48,94,REGIONAL RD 20,2,REG,TwoWay,,,50,9989,2015,24HR,286.641929513929
56767,16244,Arterial,MAJOR,KING ST E,KING ST BYPASS OFFRAMP,DEER RIDGE DR,4169,4195,4164,4202,REGIONAL RD  8,5,REG,TwoWay,58R-7412,4/22/2003 12:00:00 AM,50,39075,2015,24HR,215.577147079755
56774,1720,Arterial,MAJOR,VICTORIA ST S,LAWRENCE AVE,ALICE AVE,517,541,512,538,REGIONAL RD 55,4,REG,TwoWay,REG PLAN 645,4/22/2003 12:00:00 AM,50,19252,2015,24HR,120.906506367197
56776,13144,Arterial,MAJOR,WEBER ST E,PINECREST DR,ARLINGTON BLVD,,,1191,1191,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 267,5/30/2003 12:00:00 AM,50,20548,2015,7-7 MON-FRI,87.5049316558933
56789,22491,Arterial,MAJOR,LACKNER BLVD,BRYAN CRT,ZELLER DR,,,,,REGIONAL RD 54,3,REG,TwoWay,REG PLAN 1806,4/22/2003 12:00:00 AM,60,12672,2015,24HR,294.204104206265
56800,9375,Arterial,MAJOR,OTTAWA ST S,DUNDAS AVE,BEDFORD RD,145,161,,,REGIONAL RD  4,2,REG,TwoWay,REG PLAN 262,4/22/2003 12:00:00 AM,50,14825,2015,24HR,85.4771683446713
56808,11131,Arterial,MAJOR,FREDERICK ST,GORDON AVE,SAMUEL ST,,,247,247,REGIONAL RD  6,2,REG,TwoWay,REG PLAN 424,4/22/2003 12:00:00 AM,50,14455,2015,7-7 MON-SAT,29.0910787184427
56809,11128,Arterial,MAJOR,FREDERICK ST,SAMUEL ST,PEQUEGNAT AVE,250,264,257,265,REGIONAL RD  6,2,REG,TwoWay,REG PLAN 424,4/22/2003 12:00:00 AM,50,14216,2015,7-7 MON-SAT,69.1101217198421
56810,6917,Arterial,MAJOR,FREDERICK ST,SIMEON ST,CHESTNUT ST,274,284,271,281,REGIONAL RD  6,2,REG,TwoWay,REG PLAN 111,4/22/2003 12:00:00 AM,50,13746,2015,7-7 MON-SAT,63.0905976193857
56811,11099,Arterial,MAJOR,WEBER ST W,VICTORIA ST N,WELLINGTON ST N,121,143,122,126,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 376,4/22/2003 12:00:00 AM,50,39155,2003,7-7 MON-FRI,270.585277042777
56817,6894,Arterial,MAJOR,COURTLAND AVE E,BORDEN AVE S,GRENVILLE AVE,406,418,397,419,REGIONAL RD 53,2,REG,TwoWay,REG PLAN 242,4/22/2003 12:00:00 AM,50,11219,2015,24HR,96.9324252117351
56818,9373,Arterial,MAJOR,COURTLAND AVE E,OTTAWA ST S,SYDNEY ST S,464,492,453,505,REGIONAL RD 53,3,REG,TwoWay,REG PLAN 262,4/22/2003 12:00:00 AM,50,9353,2015,24HR,196.764371588795
56821,7063,Arterial,MAJOR,WEBER ST W,WELLINGTON ST N,LOUISA ST,153,161,152,160,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 376,4/22/2003 12:00:00 AM,50,18210,2015,7-7 MON-FRI,97.1538758438593
56838,6700,Collector,MAJOR,DUKE ST W,ONTARIO ST N,YOUNG ST,45,85,42,56,REGIONAL RD 63,2,REG,TwoWay,REG PLAN 401,4/22/2003 12:00:00 AM,50,5979,2015,24HR,168.766270787816
